"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B46X6M6X","webpage","","","Black silicon: fabrication methods, properties and solar energy applications - Energy & Environmental Science (RSC Publishing)","","","","","https://pubs.rsc.org/en/content/articlelanding/2014/EE/C4EE01152J#!divAbstract","","","2020-03-13 14:04:32","2020-03-13 14:04:32","2020-03-13 14:04:32","","","","","","","","","","","","","","","","","","","","","","","C:\Users\bonga\Zotero\storage\WPZW8MBL\C4EE01152J.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHRMJZE2","webpage","","","Black silicon: fabrication methods, properties and solar energy applications - Energy & Environmental Science (RSC Publishing)","","","","","https://pubs.rsc.org/en/content/articlelanding/2014/EE/C4EE01152J#!divAbstract","","","2020-03-13 14:05:05","2020-03-13 14:05:07","2020-03-13 14:05:05","","","","","","","","","","","","","","","","","","","","","","","C:\Users\bonga\Zotero\storage\LLJG4389\C4EE01152J.html","","fab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GT736JQ5","journalArticle","2012","Su, Fengmin; Ma, Hongbin; Han, Xu; Chen, Hsiu-hung; Tian, Bohan","Ultra-high cooling rate utilizing thin film evaporation","Applied Physics Letters","","0003-6951, 1077-3118","10.1063/1.4752253","http://aip.scitation.org/doi/10.1063/1.4752253","","2012-09-10","2020-03-17 22:53:18","2020-03-17 22:53:18","2020-03-17 22:53:18","113702","","11","101","","Appl. Phys. Lett.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2012_Appl. Phys. Lett._Su et al_Ultra-high cooling rate utilizing thin film evaporation.pdf; C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2012_Appl. Phys. Lett._Su et al_Ultra-high cooling rate utilizing thin film evaporation2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47KP4GKN","webpage","","","Zotero Plugin Add-on Pc Microsoft Word Missing - YouTube","","","","","https://www.youtube.com/watch?v=aU1CyYzh3E0","","","2020-03-17 23:16:43","2020-03-17 23:16:43","2020-03-17 23:16:43","","","","","","","","","","","","","","","","","","","","","","","C:\Users\bonga\Zotero\storage\Z5ZA3ICA\watch.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJIJQBFJ","journalArticle","2016","Farokhnia, Nazanin; Irajizad, Peyman; Sajadi, Seyed Mohammad; Ghasemi, Hadi","Rational Micro/Nanostructuring for Thin-Film Evaporation","The Journal of Physical Chemistry C","","1932-7447, 1932-7455","10.1021/acs.jpcc.6b01362","https://pubs.acs.org/doi/10.1021/acs.jpcc.6b01362","Heat management in electronics and photonics devices is a critical challenge impeding accelerated breakthrough in these ﬁelds. Among approaches for heat dissipation, thin-ﬁlm evaporation with micro/nanostructures has been one of the most promising approaches that can address future technological demand. The geometry and dimension of these micro/nanostructures directly govern the interfacial heat ﬂux. Here, through theoretical and experimental analysis, we ﬁnd that there is an optimal dimension of micro/nanostructures that maximizes the interfacial heat ﬂux by thin-ﬁlm evaporation. This optimal criterion is a consequence of two opposing phenomena: nonuniform evaporation ﬂux across a liquid meniscus (divergent mass ﬂux near the three-phase contact line) and the total liquid area exposed for evaporation. In vertical micro/nanostructures, the optimal width-to-spacing ratio is 1.27 for square pillars and 1.5 for wires (e.g., nanowires). This general criterion is independent of the solid material and the thermophysical properties of the cooling liquid. At the optimal width-to-spacing ratio, as the density of the pillars increases (i.e., smaller pillar’s dimension), the interfacial heat ﬂux increases. This study provides a direction for rational development of micro/nanostructures for thin-ﬁlm evaporation and paves the path for development of high-performance thermal management systems.","2016-04-28","2020-03-17 23:31:44","2020-03-17 23:31:45","2020-03-17 23:31:44","8742-8750","","16","120","","J. Phys. Chem. C","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2016_J. Phys. Chem. C_Farokhnia et al_Rational Micro-Nanostructuring for Thin-Film Evaporation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9J4B3G2","journalArticle","2019","Elsheikh, Ammar H.; Sharshir, Swellam W.; Ahmed Ali, Mohamed Kamal; Shaibo, J.; Edreis, Elbager M.A.; Abdelhamid, Talaat; Du, Chun; Haiou, Zhang","Thin film technology for solar steam generation: A new dawn","Solar Energy","","0038092X","10.1016/j.solener.2018.11.058","https://linkinghub.elsevier.com/retrieve/pii/S0038092X18311642","The sun is considered as the most promising abundant renewable energy source that can be exploited to solve many of human beings’ challenges such as energy and water scarcity. Solar energy can be utilized in steam and vapor generation processes which has a great importance in many engineering applications such as water desalination, domestic water heating, and power generation. However, dilute solar flux (∼1000 W/m2) cannot supply the absorber with enough power required to overcome water latent heat of vaporization to evaporate water. Optical concentrators such as parabolic trough collector, parabolic dish reflector, and circular Fresnel lens can be used to concentrate the solar radiation to achieve the required power however they suffer from complexity and high cost. Moreover, the efficiency of the conventional solar desalination devices such as solar stills decreases dramatically with increasing bulk water quantity, due to the heat loss to bulk water. Therefore, the need to solar steam generation (SG) devices, that localize heating on a thin layer of water rather than the water bulk, arises. Thin film technology has shown promising progress in SG in which solar energy is utilized to wastewater desalination. The past five years have seen a significant surge in the development of thin film based SG devices. In this review, recently developed thin film-based SG devices are scrutinized with respect to their physical mechanisms, fabrication methods, structure, advantages, and disadvantages. Different types of thin-film materials, including: metal-based nanoparticles, metal oxides, carbon-based materials, polymers, etc.; as well as different substrates materials, including: wood, paper, cotton fabric, carbon fabric, polystyrene foam, and gauze, have been discussed. Moreover, different preparation and synthetization methods of the steam generation devices have been discussed. Suggestions for future research directions are also presented.","2019-01","2020-03-17 23:50:37","2020-03-17 23:50:37","2020-03-17 23:50:37","561-575","","","177","","Solar Energy","Thin film technology for solar steam generation","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2019_Solar Energy_Elsheikh et al_Thin film technology for solar steam generation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJAASTKV","journalArticle","2014","Ghasemi, Hadi; Ni, George; Marconnet, Amy Marie; Loomis, James; Yerci, Selcuk; Miljkovic, Nenad; Chen, Gang","Solar steam generation by heat localization","Nature Communications","","2041-1723","10.1038/ncomms5449","http://www.nature.com/articles/ncomms5449","","2014-12","2020-03-18 00:00:13","2020-03-18 00:00:13","2020-03-18 00:00:13","4449","","1","5","","Nat Commun","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2014_Nat Commun_Ghasemi et al_Solar steam generation by heat localization.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUQCVWQB","journalArticle","2018","Tao, Peng; Ni, George; Song, Chengyi; Shang, Wen; Wu, Jianbo; Zhu, Jia; Chen, Gang; Deng, Tao","Solar-driven interfacial evaporation","Nature Energy","","2058-7546","10.1038/s41560-018-0260-7","http://www.nature.com/articles/s41560-018-0260-7","","2018-12","2020-03-18 00:01:23","2020-03-18 00:01:23","2020-03-18 00:01:23","1031-1041","","12","3","","Nat Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2018_Nat Energy_Tao et al_Solar-driven interfacial evaporation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7PGZ8HPG","journalArticle","2015","Qiu, Lu; Dubey, Swapnil; Choo, Fook Hoong; Duan, Fei","Recent developments of jet impingement nucleate boiling","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2015.05.025","https://linkinghub.elsevier.com/retrieve/pii/S0017931015005086","Jet impingement boiling is one of important branches of ﬂow boiling. Due to its high heat transfer rate, the application potential of this heat transfer approach is signiﬁcant. Hence, it attracts many researchers attentions. This review examines the development of jet impingement boiling heat transfer that published in the past two decades. The topics covered are fully developed nucleate boiling regime and its two boundaries: onset of nucleate boiling and critical heat ﬂux point. Free surface, submerged, conﬁned circular/planer jet impingement boiling conﬁgurations are involved. Effects of jet parameters (impact velocity, impact distance, jet diameter, subcooling, jet array, etc.) and target surface parameters (surface condition, surface aging, etc.) on boiling heat transfer characteristics are emphasized and discussed. The review mainly focuses on experimental studies, but theoretical and numerical developments are also discussed.","2015-10","2020-03-18 16:43:33","2020-03-18 16:43:33","2020-03-18 16:43:33","42-58","","","89","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2015_International Journal of Heat and Mass Transfer_Qiu et al_Recent developments of jet impingement nucleate boiling.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5G594JJV","journalArticle","2018","Drummond, Kevin P.; Back, Doosan; Sinanis, Michael D.; Janes, David B.; Peroulis, Dimitrios; Weibel, Justin A.; Garimella, Suresh V.","A hierarchical manifold microchannel heat sink array for high-heat-flux two-phase cooling of electronics","International Journal of Heat and Mass Transfer","","00179310","10.1016/j.ijheatmasstransfer.2017.10.015","https://linkinghub.elsevier.com/retrieve/pii/S0017931017322573","High-heat-ﬂux removal is necessary for next-generation microelectronic systems to operate more reliably and efﬁciently. Extremely high heat removal rates are achieved in this work using a hierarchical manifold microchannel heat sink array. The microchannels are imbedded directly into the heated substrate to reduce the parasitic thermal resistances due to contact and conduction resistances. Discretizing the chip footprint area into multiple smaller heat sink elements with high-aspect-ratio microchannels ensures shortened effective ﬂuid ﬂow lengths. Phase change of high ﬂuid mass ﬂuxes can thus be accommodated in micron-scale channels while keeping pressure drops low compared to traditional, microchannel heat sinks. A thermal test vehicle, with all ﬂow distribution components heterogeneously integrated, is fabricated to demonstrate this enhanced thermal and hydraulic performance. The 5 mm Â 5 mm silicon chip area, with resistive heaters and local temperature sensors fabricated directly on the opposite face, is cooled by a 3 Â 3 array of microchannel heat sinks that are fed with coolant using a hierarchical manifold distributor. Using the engineered dielectric liquid HFE-7100 as the working ﬂuid, experimental results are presented for channel mass ﬂuxes of 1300, 2100, and 2900 kg/m2 s and channel cross sections with nominal widths of 15 lm and nominal depths of 35 lm, 150 lm, and 300 lm. Maximum heat ﬂux dissipation is shown to increase with mass ﬂux and channel depth and the heat sink with 15 lm Â 300 lm channels is shown to dissipate base heat ﬂuxes up to 910 W/cm2 at pressure drops of less than 162 kPa and chip temperature rise under 47 °C relative to the ﬂuid inlet temperature.","2018-02","2020-03-18 16:59:46","2020-03-18 16:59:46","2020-03-18 16:59:46","319-330","","","117","","International Journal of Heat and Mass Transfer","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\bonga\OneDrive\Zliterature\Evaporation paper\2018_International Journal of Heat and Mass Transfer_Drummond et al_A hierarchical manifold microchannel heat sink array for high-heat-flux.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
